species,number,locality,phallus,epiphallus1,epiphallus2,epiphallus,flagellum,ph_fl,ep1_fl,ep_fl,ep1+ph_fl,ep+ph_fl,ep1_ep2,decimalLatitude,decimalLongitude,shape,retractor,1000pixels=1cm
darlingtoni,C.272201,Kyogle,975,844,1632,2476,1158,0.841968912,0.728842832,2.138169257,1.570811744,2.980138169,0.517156863,-28.389722,153.106667,,,
darlingtoni,QM59910spec1,Broader-Range,1222,1443,1754,3197,1186,1.030354132,1.216694772,2.695615514,2.247048904,3.725969646,0.822690992,-28.383333,153.066667,,,
darlingtoni,QM59910spec2,Broader-Range,889,1276,2135,3411,1122,0.792335116,1.137254902,3.040106952,1.929590018,3.832442068,0.59765808,-28.383333,153.066667,,,
darlingtoni,QM59910spec3,Broader-Range,969,1016,2043,3059,677,1.431314623,1.500738552,4.518463811,2.932053176,5.949778434,0.497307881,-28.383333,153.066667,,,
mitchellae,C.272200,Mulumbimy,1369,1345,2548,3893,1084,1.262915129,1.240774908,3.591328413,2.503690037,4.854243542,0.527864992,-28.573056,153.428056,,,
mitchellae,C.348956,Mulumbimy,1918,1304,2808,4112,1431,1.340321454,0.911250874,2.873515024,2.251572327,4.213836478,0.464387464,-28.573056,153.428056,,,
mitchellae,C.584209,Bilinudgel,687,1165,1506,2671,898,0.765033408,1.297327394,2.974387528,2.062360802,3.739420935,0.773572377,-28.48861111,153.5358333,,,
mitchellae,C.584214,Byron-Bay,1306,1072,2359,3431,1138,1.147627417,0.942003515,3.014938489,2.089630931,4.162565905,0.454429843,-28.66222222,153.6116667,,,
mitchellae,C.584218,Byron-Bay,1009,1041,2451,3492,1186,0.850758853,0.877740304,2.944350759,1.728499157,3.795109612,0.424724602,-28.66222222,153.6116667,,,
mitchellae,C.584219,Byron-Bay,1256,1212,1621,2833,910,1.38021978,1.331868132,3.113186813,2.712087912,4.493406593,0.747686613,-28.66222222,153.6116667,,,
mitchellae,C.584222,Lennox-Head,767,658,1227,1885,803,0.95516812,0.819427148,2.347447073,1.774595268,3.302615193,0.536267319,-28.79083333,153.5858333,,,
mitchellae,C.584239,Byron-Bay,1001,820,1458,2278,739,1.354533153,1.109607578,3.082543978,2.464140731,4.437077131,0.562414266,-28.25944444,153.5713889,,,
novaehollandiae,C.104898,Forster,1110,819,1636,2455,473,2.346723044,1.731501057,5.190274841,4.078224101,7.536997886,0.500611247,-32.32666667,152.45,,,
novaehollandiae,C.105158,Dorrigo,1078,1118,859,1977,484,2.227272727,2.309917355,4.084710744,4.537190083,6.311983471,1.301513388,-30.36666667,152.7666667,,,
novaehollandiae,C.105160,New-England,855,952,707,1659,457,1.870897155,2.083150985,3.630196937,3.95404814,5.501094092,1.346534653,-30.5,152.4,,,
novaehollandiae,C.105162,Dungog,1096,1385,1439,2824,727,1.507565337,1.905089409,3.884456671,3.412654746,5.392022008,0.96247394,-32.03333333,151.4,,,
novaehollandiae,C.105163,Wauchope,1021,671,1120,1791,164,6.225609756,4.091463415,10.92073171,10.31707317,17.14634146,0.599107143,-31.19666667,152.3897222,NA,NA,
novaehollandiae,C.105165,Armidale,612,662,1141,1803,377,1.623342175,1.75596817,4.782493369,3.379310345,6.405835544,0.580192813,-30.73972222,152.0433333,,NA,
novaehollandiae,C.105177,Dorrigo,1717,676,1762,2438,359,4.782729805,1.883008357,6.791086351,6.665738162,11.57381616,0.383654938,-30.376667,152.726667,,,105157!!!
novaehollandiae,C.108564,Morisset,909,1093,1295,2388,404,2.25,2.705445545,5.910891089,4.955445545,8.160891089,0.844015444,-33.1,151.4016667,,,
novaehollandiae,C.112182,Gloucester,1212,1721,1281,3002,466,2.600858369,3.693133047,6.442060086,6.293991416,9.042918455,1.343481655,-32.09166667,151.5916667,,,
novaehollandiae,C.112185,Marengo,921,837,1169,2006,381,2.417322835,2.196850394,5.265091864,4.614173228,7.682414698,0.715996578,-30.09305556,152.4266667,,,
novaehollandiae,C.118236,Bulahdelah,1231,773,1710,2483,584,2.107876712,1.323630137,4.251712329,3.431506849,6.359589041,0.452046784,-32.33361111,152.2705556,,,
novaehollandiae,C.121699,Kempsey,1063,784,905,1689,319,3.332288401,2.457680251,5.294670846,5.789968652,8.626959248,0.866298343,-31.01666667,152.3333333,,NA,
novaehollandiae,C.165925,Chinester,973,994,1017,2011,548,1.775547445,1.813868613,3.669708029,3.589416058,5.445255474,0.977384464,-32.11666667,151.4166667,NA,,
novaehollandiae,C.272194,Ngambaa,956,996,1111,2107,672,1.422619048,1.482142857,3.135416667,2.904761905,4.558035714,0.896489649,-30.878889,152.778889,,,
novaehollandiae,C.272195,Yarriabini,1151,967,823,1790,709,1.623413258,1.363892807,2.524682652,2.987306065,4.14809591,1.174969623,-30.786944,152.948056,,,
novaehollandiae,C.272196,New-England,1113,716,1113,1829,258,4.313953488,2.775193798,7.089147287,7.089147287,11.40310078,0.643306379,-30.468611,152.532778,,,
novaehollandiae,C.272197,Tapin-Tops,1809,985,1416,2401,404,4.477722772,2.438118812,5.943069307,6.915841584,10.42079208,0.695621469,-31.666944,152.143056,,,
novaehollandiae,C.272198,Bulahdelah,1201,712,1864,2576,632,1.900316456,1.126582278,4.075949367,3.026898734,5.976265823,0.381974249,-32.333611,152.270556,,,
novaehollandiae,C.272199,Tapin-Tops,612,1196,1091,2287,260,2.353846154,4.6,8.796153846,6.953846154,11.15,1.09624198,-31.666111,152.141111,,,
novaehollandiae,C.272202,Taree,1126,736,1232,1968,314,3.585987261,2.343949045,6.267515924,5.929936306,9.853503185,0.597402597,-31.870833,152.380833,NA,,
novaehollandiae,C.272203,Dorrigo,1445,1054,1733,2787,321,4.501557632,3.283489097,8.682242991,7.785046729,13.18380062,0.608193883,-30.366667,152.766667,,,
novaehollandiae,C.272204,Armidale,999,967,1137,2104,311,3.21221865,3.109324759,6.765273312,6.321543408,9.977491961,0.850483729,-30.505,152.386389,,,
novaehollandiae,C.272205,Coolongolook,1285,639,1010,1649,569,2.258347979,1.123022847,2.898066784,3.381370826,5.156414763,0.632673267,-32.250833,152.339722,NA,,
novaehollandiae,C.320785,Dorrigo,787,952,1341,2293,406,1.938423645,2.344827586,5.647783251,4.283251232,7.586206897,0.709917972,-30.48972222,152.4077778,,NA,
novaehollandiae,C.348947,Dorrigo,1593,997,1253,2250,425,3.748235294,2.345882353,5.294117647,6.094117647,9.042352941,0.795690343,-30.37305556,152.7241667,,,
novaehollandiae,C.348948,Armidale,804,959,1733,2692,356,2.258426966,2.693820225,7.561797753,4.952247191,9.820224719,0.553375649,-30.505,152.3863889,NA,,
novaehollandiae,C.348949,Dungog,1373,605,1663,2268,587,2.339011925,1.030664395,3.863713799,3.36967632,6.202725724,0.363800361,-32.12833333,151.4697222,,,
novaehollandiae,C.460243,Bugan,1581,1174,1301,2475,297,5.323232323,3.952861953,8.333333333,9.276094276,13.65656566,0.902382782,-31.61083333,152.0205556,,,
novaehollandiae,C.465639,New-England,1181,821,1159,1980,,,,,,,0.708369284,-30.46861111,152.5327778,NA,,
novaehollandiae,C.465644,New-England,842,1118,806,1924,365,2.306849315,3.063013699,5.271232877,5.369863014,7.578082192,1.387096774,-30.46861111,152.5327778,NA,,
novaehollandiae,C.488779,Forster,986,848,1389,2237,623,1.582664526,1.361155698,3.590690209,2.943820225,5.173354735,0.610511159,-32.34277778,152.4466667,,,
