id,pop,lat,lon
3902,novaehollandiae,-29.55305556,152.2311111
4360,mitchellae,-28.48861111,153.5358333
4361,mitchellae,-28.48861111,153.5358333
4362,mitchellae,-28.48861111,153.5358333
4363,mitchellae,-28.48861111,153.5358333
4364,mitchellae,-28.64916667,153.6116667
4365,mitchellae,-28.66222222,153.6116667
4366,mitchellae,-28.66222222,153.6116667
4367,mitchellae,-28.79083333,153.5858333
4368,mitchellae,-28.64555556,153.6044444
4369,mitchellae,-28.64555556,153.6044444
4370,novaehollandiae,-30.23694444,152.3780556
4371,novaehollandiae,-31.34888889,151.6077778
4372,novaehollandiae,-31.37194444,152.2480556
4373,novaehollandiae,-29.78616386,151.9683527
4374,novaehollandiae,-31.41388889,152.175
4375,novaehollandiae,-30.23694444,152.3780556
4376,sp2,-31.82305556,150.2022222
4377,sp1,-30.28083333,150.1633333
4378,novaehollandiae,-28.34083333,152.3722222
4379,sp2,-31.82166667,150.2052778
4380,sp1,-30.29305556,150.1708333
4381,richmondiana,-28.56666667,153.3166667
4382,novaehollandiae,-30.78694444,152.9480556
4383,novaehollandiae,-31.66611111,152.1411111
4384,novaehollandiae,-32.24722222,151.7283333
4385,novaehollandiae,-30.46861111,152.5327778
4387,novaehollandiae,-30.80388889,152.1038889
4388,novaehollandiae,-32.25083333,152.3397222
4389,novaehollandiae,-31.73027778,152.1441667
4390,novaehollandiae,-29.55,152.2333333
4391,novaehollandiae,-30.83194444,152.0369444
4392,novaehollandiae,-30.23333333,153.1
4393,novaehollandiae,-29.53333333,152.25
4394,novaehollandiae,-30.87888889,152.7788889
4395,novaehollandiae,-32.34277778,152.4466667
4397,novaehollandiae,-30.53166667,152.0333333
4398,novaehollandiae,-31.13111111,152.8211111
4399,novaehollandiae,-31.36888889,152.2661111
4400,novaehollandiae,-31.56694444,152.395
4401,novaehollandiae,-31.37888889,152.2619444
4749,novaehollandiae,-30.31138889,152.9380556
4750,novaehollandiae,-30.46861111,152.5327778
4751,novaehollandiae,-30.78694444,152.9480556
4752,novaehollandiae,-31.61083333,152.0205556
4753,novaehollandiae,-31.66694444,152.1430556
4754,novaehollandiae,-31.66694444,152.1430556
4755,novaehollandiae,-31.31805556,151.8633333
4756,novaehollandiae,-31.31805556,151.8633333
4827,novaehollandiae,-32.0618,151.6833
4828,novaehollandiae,-32.1247,151.4672
4829,novaehollandiae,-32.1247,151.4672
4853,sp1,-30.29305556,150.1708333
4854,sp1,-30.29305556,150.1708333
4855,novaehollandiae,-30.25,153.116667
4856,novaehollandiae,-30.25,153.116667
4857,novaehollandiae,-30.25,153.116667
4858,novaehollandiae,-30.25,153.116667
4859,novaehollandiae,-32.125,151.183333
4860,novaehollandiae,-30.7875,152.948611
4861,novaehollandiae,-31.209722,152.477778
4862,novaehollandiae,-31.209722,152.477778
4863,novaehollandiae,-28.233333,152.333333
4864,novaehollandiae,-30.9075,152.255278
4868,sp1,-30.3,150.15
4872,darlingtoni,-28.383333,153.066667
4873,darlingtoni,-28.383333,153.066667
4874,darlingtoni,-28.383333,153.066667
4876,richmondiana,-28.216667,153.2
4880,novaehollandiae,-29.55,152.283333
4881,novaehollandiae,-29.55,152.283333
4884,novaehollandiae,-29.55,152.283333
4886,richmondiana,-28.233333,153.216667
