Species,CodeNumber,Longtitude_convert,Latitude_convert,Museum,Museum
darlingtoni,C.112129,153.1336111,-28.23166667,AM,
darlingtoni,C.111794,153.0833333,-28.41666667,AM,
darlingtoni,C.112141,153.1336111,-28.23166667,AM,
darlingtoni,C.112130,153.15,-28.23333333,AM,
darlingtoni,C.349494,153.1066667,-28.38972222,AM,
mitchellae,C.121725,153.45,-28.58333333,AM,
mitchellae,C.372245,153.6075,-28.66916667,AM,
mitchellae,C.441636,153.5683333,-28.62388889,AM,
mitchellae,C.112236,153.6,-28.71666667,AM,
mitchellae,C.158030,153.4966667,-28.27305556,AM,
mitchellae,C.112233,153.56,-28.87666667,AM,
mitchellae,C.3392,153.5166667,-28.85,AM,
mitchellae,C.112232,153.56,-28.87666667,AM,
mitchellae,C.112234,153.56,-28.87666667,AM,
mitchellae,C.112249,153.5166667,-28.85,AM,
mitchellae,C.112250,153.5833333,-28.66666667,AM,
mitchellae,C.114513,153.6,-28.71666667,AM,
mitchellae,C.112235,153.6,-28.71666667,AM,
mitchellae,C.117044,153.4966667,-28.27305556,AM,
mitchellae,C.112243,153.6,-28.685,AM,
mitchellae,C.347165,153.4083333,-28.56472222,AM,
mitchellae,C.348954,153.4280556,-28.57305556,AM,
mitchellae,C.320055,153.6141667,-28.65861111,AM,
mitchellae,C.129335,153.4966667,-28.27305556,AM,
mitchellae,C.171241,152.9166667,-29.5,AM,
mitchellae,C.441635,153.5683333,-28.62388889,AM,
mitchellae,C.112239,153.6166667,-28.65,AM,
mitchellae,C.112240,153.6166667,-28.65,AM,
mitchellae,C.112242,153.6166667,-28.65,AM,
mitchellae,C.112238,153.6166667,-28.65,AM,
mitchellae,C.112237,153.6166667,-28.65,AM,
mitchellae,C.112241,153.6166667,-28.65,AM,
mitchellae,C.100663,153.5216667,-28.68805556,AM,
mitchellae,C.105563,153.5252778,-28.68527778,AM,
mitchellae,C.117022,153.4966667,-28.27305556,AM,
mitchellae,C.163390,153.4966667,-28.27305556,AM,
mitchellae,C.584239.001,153.5713889,-28.25944444,AM,
mitchellae,C.584239,153.5713889,-28.25944444,AM,
mitchellae,C.584242,153.5713889,-28.25944444,AM,
mitchellae,C.584222.001,153.5858333,-28.79083333,AM,
mitchellae,C.584222,153.5858333,-28.79083333,AM,
