id,SV1,SV2,SV3,SV4,SV5,SV6,SV7,SV8,SV9,SV10,SV11,SV12,SV13,SV14,SV15,SV16,SV17,SV18,SV19,SV20,SV21,SV22,SV23,SV24,SV25,SV26,SV27,SV28,SV29,SV30,SV31,SV32,SV33,SV34,SV35,SV36,SV37,SV38,SV39,SV40,SV41,SV42,SV43,SV44,SV45,SV46,SV47,SV48,SV49,SV50,SV51,SV52,SV53,SV54,SV55,SV56,SV57,SV58,SV59,SV60,SV61,SV62,SV63,SV64,SV65,SV66,SV67,SV68,SV69,SV70,SV71,SV72,SV73,SV74,SV75,SV76,SV77,SV78,SV79,SV80
novaehollandiae_C.272204_Armidale_converted,2.07926651841472E-002,-2.40391257027539E-002,5.19978411299293E-003,-7.03900286441169E-003,1.13229679888407E-003,-1.15158006157847E-003,4.35761792101999E-003,-5.02451903196265E-003,5.31973330691604E-003,-4.05380695511397E-003,2.16814998692777E-004,-9.40161424546574E-004,1.34687050685061E-003,-3.61100717634822E-004,1.93340809955668E-003,-1.26092929065166E-003,1.26059388876022E-003,-6.06162942340755E-003,8.53430875720179E-004,-2.84146168459635E-004,7.27018504494179E-005,-2.81054548363026E-004,5.90781812861900E-004,-2.57291292789023E-004,1.51736205881044E-004,-5.20037994292670E-004,1.42292781887945E-003,-1.70955935607596E-004,2.88620430732478E-004,-9.54889597283621E-004,1.00545540752052E-003,-8.20706851216722E-004,1.99078406840496E-004,-6.02170136332916E-004,3.62849285934715E-004,-8.25684042883106E-004,3.41970267931216E-004,-1.23162853360309E-003,6.55402734617970E-005,-3.90925158480729E-004,2.39260641959731E-004,-6.15147634167611E-004,3.26854803326613E-004,-5.10209751418648E-004,3.75333439628858E-004,-2.41232097220543E-004,4.42342259754416E-004,-2.76238373285922E-004,2.52088464600532E-004,-1.00878411628051E-004,3.94912069171323E-005,-1.32109854061888E-004,2.70820863579220E-004,-7.87077305065806E-005,1.28686844148634E-004,-1.18486346957389E-005,4.17705779778755E-005,-2.06970758137224E-004,7.73516370403579E-005,-2.90126165530908E-004,7.10171506554001E-005,-1.04730320302332E-004,6.29745445041290E-005,-1.40365800374618E-004,7.07781488055550E-005,-2.29526403620792E-005,6.68290698857243E-005,-5.15426843450827E-005,7.40312135956237E-007,-2.38071081832086E-005,2.07592700018729E-005,-2.47229237225322E-007,7.77052758270263E-006,-3.07588542471310E-005,7.26472886945085E-006,2.85006746959251E-006,-1.84155948994796E-005,5.14679660255624E-006,5.54631065348858E-006,-8.62452657845476E-006
novaehollandiae_QM36956spec2_Wilson-River_converted,5.30720460369853E-002,1.04700219501872E-002,-4.67074663116015E-003,4.12118693805704E-003,1.93435665131107E-005,1.15652161531534E-003,4.21840940621696E-003,-4.44853919305941E-003,-7.54019139291433E-004,-1.00569853233838E-003,-2.98905869532932E-004,-5.69603288090669E-004,1.21089655119033E-003,9.66904392925459E-004,-2.33989637137957E-003,-1.70664196213570E-003,6.28468864694225E-004,-1.72853746042111E-003,4.79563155528679E-004,-5.32710147950014E-004,-1.00780584800550E-003,-1.57583570061457E-003,1.15116972373996E-004,1.21244110600686E-003,-9.26390161541236E-004,1.72910395909241E-003,-5.11997276969663E-004,1.44290993573686E-003,2.37819455374477E-003,-9.99243034903962E-004,-8.36903757347388E-004,1.24476331477900E-003,-7.48124301646989E-004,1.46098716808494E-004,7.13822493421973E-004,3.43877214400401E-004,8.64670175978138E-004,-8.72272083338055E-005,1.95481485827529E-004,5.62563531674641E-004,-2.58333248843418E-004,-4.31186044298842E-004,2.06703623595622E-004,1.89722359935196E-004,2.13735486819302E-004,5.63756568427868E-004,2.12389751066674E-004,3.57710620348182E-004,2.03206877691328E-004,-5.45379934944331E-005,1.18373570339507E-004,-1.84652138054135E-005,-7.72532789628181E-005,-1.36280588534138E-004,-6.32814898127409E-005,-6.92133041765068E-005,7.66803545705697E-005,-2.12936293931252E-005,3.16808654609035E-005,1.51482354818710E-004,-1.90037668922634E-004,-1.85252576470669E-004,7.27880975284127E-005,3.04186799043403E-005,1.50486793296917E-006,-2.76986676879370E-005,1.10705682040108E-004,4.18703529594091E-005,5.71635983604786E-005,-1.29077416025211E-006,-1.83739284234299E-005,4.61469506825739E-005,-2.71680344660598E-005,1.96249572467892E-005,-3.12897774074796E-005,2.96602021293786E-006,2.38116713824630E-005,1.87192110038192E-005,1.59424358946346E-005,7.58836455109017E-006
mitchellae_C.584214_Byron-Ba_converted,1.07968451869223E-002,-1.52737847536736E-002,8.67467955128952E-003,-7.20342080611150E-003,3.97775498389680E-003,-1.24092359877108E-003,-5.70279475470154E-004,2.62177035038443E-003,-1.41967821954716E-003,1.52646184483209E-003,1.64891370658064E-003,-6.84938148477361E-004,9.82193486460035E-005,1.02085864270334E-003,7.55921572397283E-004,1.54203826220493E-003,3.18008128862964E-006,1.28888183585689E-003,9.53007928625030E-004,-7.24259266733338E-004,-1.95239466594365E-004,-7.94817569280393E-004,-1.02641051793680E-004,-4.19088377426930E-004,-9.33137957245568E-004,1.42352221399667E-004,-1.58073698883869E-003,2.79015988207952E-004,-1.18191029317827E-004,-4.93946508905460E-005,-1.58546796516613E-004,3.70054393211458E-004,1.12508798670325E-003,-8.94803032756974E-004,-7.66159549389292E-004,-6.84693740441407E-005,2.23382320495744E-004,-6.13585637270489E-004,-1.77545412984684E-004,-4.04669547497828E-004,-1.87214551413390E-005,-2.86385631714604E-004,-2.53428085526289E-004,-1.62962295826537E-004,-1.59269198130861E-004,-2.81798265687049E-004,1.98266701347419E-004,6.76921566041697E-005,-4.75895322956198E-006,-8.91550513854423E-005,9.59666127127105E-005,1.50149422910915E-004,1.06818715493742E-004,-2.72195875396005E-004,-9.67044035144842E-005,2.74587388211114E-006,-1.00129461715025E-004,1.33984994794121E-004,3.50211707330421E-005,6.54512991129730E-005,-2.05950755119930E-005,1.55310901299998E-004,8.53886958215434E-006,5.74634043701185E-005,-1.50270602755913E-004,-1.07520844319475E-004,8.40437648320864E-005,4.51857270602908E-005,8.60903355337048E-006,-1.63829702372841E-005,5.20355404353665E-007,6.43902105044940E-006,8.56413239254552E-005,-7.12619375578320E-005,5.72818862383050E-005,-1.58695047606960E-005,1.44653583246233E-005,4.24408510586154E-005,1.18666002752774E-005,2.17793003990793E-005
novaehollandiae_QM12713_Acacia_converted,3.70351377767298E-002,-1.53702346325043E-002,5.19036326174974E-003,-5.59050755848819E-003,3.45825865717187E-003,7.10756325540033E-004,1.38394273391891E-003,2.45896264815374E-003,8.37825689371943E-003,-3.57146349535940E-003,1.51468533594282E-003,-1.80744788334692E-003,5.42043514781781E-003,1.93624162913060E-003,1.03068546973517E-004,-2.38512041485670E-003,6.05264120431419E-004,-1.23831384966981E-003,1.82537684832094E-003,-2.29572234416356E-003,-1.15233803677501E-003,1.81154742391425E-004,1.43901051343535E-004,6.53714509692611E-005,1.61479320231440E-003,4.66983861629379E-004,7.06168373660817E-004,-1.83124673954503E-003,-2.53314634395149E-004,-3.07357834367928E-004,1.52289801681903E-004,3.07634495270137E-004,7.66764310849871E-004,-9.11686234781959E-005,1.01846873089100E-003,3.25274785241468E-004,-1.44009760689630E-004,5.38936255931221E-004,-1.01404920718355E-004,8.90293599610492E-006,-1.29060403948098E-004,-6.10974453355169E-005,-1.36352250695124E-003,-5.80415327598974E-005,1.60011556181929E-004,-9.89853450266698E-004,-2.65261213238572E-004,1.92386501899392E-004,-1.69237049529696E-004,-2.55539741203882E-004,-3.07443576520164E-004,-2.09363017111235E-004,-1.41090348574520E-004,-9.47755343480551E-005,-6.70559886835980E-005,-1.63431436028023E-004,1.35230645873912E-004,1.22622197848294E-004,-2.50660159940497E-005,9.45297431869736E-005,-6.07711291279479E-005,-7.14903568088135E-005,-4.95059243638144E-005,4.52931584875978E-005,-4.44263503408600E-005,6.97288932876081E-005,-6.21054658710948E-005,-1.80303128612643E-005,1.98038302799915E-006,-2.29572449727437E-005,-3.88159344076024E-005,-2.79205799334233E-006,-5.16290886780050E-006,4.03171785649700E-005,-2.33630820401462E-006,-1.35920407163472E-005,-4.82434550798183E-006,2.58876532807040E-005,3.14071432195631E-007,-1.56177856249877E-006
richmondiana_C.348955_Lismore_converted,-1.67222778089742E-001,-7.04057192588481E-002,-3.29128594596666E-002,-1.08971244014523E-002,-4.19180362941962E-003,-6.33050361810088E-004,4.14084933994634E-003,2.95815869873057E-003,-2.36728283681348E-003,5.40926947310105E-003,2.14225122818624E-003,-4.62352332256222E-003,5.36886230515139E-004,9.74688362849066E-004,-1.43309403372874E-004,1.68137305261524E-003,1.08123202497225E-003,-2.19619244548318E-003,1.15963079889809E-003,-1.78198821363850E-003,-1.78787258898874E-003,2.48653133014003E-004,3.28610037383699E-004,-4.49278232540998E-004,-2.54654634230466E-003,-1.06435125435489E-003,-1.20555363151069E-004,3.12304963943388E-004,-1.00141455973190E-004,2.27327314037912E-006,2.10837999914111E-005,6.73056160804327E-004,-9.51688067913039E-005,-2.04505336111326E-004,-4.12488913636490E-004,-2.59943400686556E-004,6.19402508136099E-004,1.09216532948466E-003,3.85440387928903E-005,-4.44827198381456E-004,3.52254211414178E-004,-7.14451704224629E-005,-6.78044165580552E-005,4.61380932112510E-004,-3.47707335475915E-004,1.64432148138162E-004,8.66357579205453E-005,-1.59203677308538E-004,4.96647724640052E-004,1.67638269318394E-004,-8.39173358952336E-005,5.48599347396707E-005,-1.15581078536660E-004,-1.78173145945407E-004,2.11793579851610E-005,-3.12026243492057E-004,1.29615917602992E-004,1.69099971077103E-004,7.75131483684534E-005,-1.59974287118887E-004,-1.84206259218430E-006,-4.27496780018820E-005,-1.01024089073893E-004,9.61156160900798E-005,-2.93831183847278E-005,6.20378513030269E-006,-9.57575407090726E-005,-6.67711113665432E-005,-5.43615279547864E-005,4.65723552209954E-005,-1.48603787772097E-005,2.64296488242094E-005,-5.86997804653977E-006,-6.62912723185166E-006,-1.36333085478352E-007,1.67517948138317E-005,1.40594273674247E-005,-1.60129509463316E-005,6.77014016912551E-006,-6.41203797625608E-006
novaehollandiae_C.584421_Barrington_converted,2.17147038777945E-002,-1.22539040069194E-002,3.30835292419583E-003,-6.53876067088600E-003,6.16343733297590E-004,2.27001971548999E-003,4.17362409809484E-003,3.62099828835269E-003,6.18349348769738E-003,1.36505443777126E-003,3.87880642522855E-003,-3.80816570846271E-003,-3.17382442816813E-003,-1.01756234022763E-003,6.32856239774371E-004,6.15573366496660E-004,-5.39377662401987E-004,-2.97511065819341E-003,1.73686582928166E-003,-3.57618574501177E-004,1.06808356417270E-003,2.43632108561601E-004,-1.28582557641168E-003,-2.01041187519525E-003,-1.72544923239076E-004,5.93336741035638E-004,-1.17243583556187E-003,1.76853886766549E-003,-1.15711560833494E-003,1.64912339692152E-004,5.14554240976649E-004,1.14438062932631E-003,1.74474364452399E-004,-5.74617637287687E-004,4.03333771152510E-005,3.03360541275429E-004,-2.52012153301539E-004,4.47403537844551E-004,-5.03998157301186E-004,3.44398849831571E-004,-7.17423382221970E-004,5.60920746896319E-004,-1.30739792747948E-004,2.43033193926658E-004,5.42623766442240E-004,2.53637780128194E-004,2.49267064255972E-004,-1.23820440800471E-004,-2.63977445734288E-004,1.90730376395246E-004,3.52838361217332E-005,-7.07787874473020E-005,-8.97015551623466E-005,3.50721094600705E-004,5.50697449645477E-006,3.66428910526640E-004,-3.30395904478924E-005,-1.98987542698888E-005,-9.82441087896305E-006,-5.23484787537348E-005,3.21126771110503E-005,-1.24209510448661E-004,-1.61708886327733E-004,-6.92161573382962E-005,-2.03715252454556E-005,1.12230412992130E-005,3.68894540708593E-005,1.17734395280197E-004,-9.28177603160464E-005,-4.19502232336514E-005,-2.63740152639893E-005,7.74618993444813E-006,1.98580386283603E-005,1.92098982340367E-005,-1.02646292659040E-005,1.46891573684580E-005,-2.95341230654619E-005,1.38031966330813E-006,2.13384678435765E-006,9.53532213150287E-006
darlingtoni_C.272201_Kyogle_converted,-4.87329289252209E-002,5.74612818280462E-002,1.99520111043639E-002,-3.15820301070368E-002,-1.97705533584551E-002,9.26202785084549E-003,-2.08406337170031E-003,1.54652742260058E-004,1.28781273087219E-003,4.90269195763140E-003,-8.38229710449481E-004,1.68690700885648E-003,7.09710186249398E-004,4.43388955617257E-003,-3.16934407278284E-004,7.26237655593084E-004,1.37041811978076E-003,1.56720203101795E-003,2.15833977114738E-003,4.99525804630068E-004,8.23687925032816E-004,-1.58209668050613E-003,-1.03192431711304E-003,6.91035287992469E-004,1.01128805822764E-003,1.66326286645818E-003,-1.12647476306191E-003,2.59710569231377E-004,8.53576088660723E-005,-4.76921512822778E-004,3.94319849985264E-004,-1.01778412280423E-003,1.47736570560844E-003,-8.55697762971542E-005,4.72675922930450E-004,-4.12156454420098E-004,2.80622836620497E-004,7.77280889243102E-004,9.83630246475362E-005,-5.53019687984019E-005,7.50940434093247E-004,-1.65084816207723E-004,4.53481911438446E-004,5.61519785314833E-005,-1.62664952432317E-004,3.45358181510288E-004,5.96589128870826E-004,-7.02116355464322E-006,-1.54422173333584E-004,-1.02571704128272E-004,-2.78525023391089E-005,-6.79128893137420E-005,4.60627843865003E-005,-1.51610255071170E-004,-6.40893157485634E-005,1.74726710316851E-004,-1.11325141273036E-004,3.25547905741019E-005,1.22938607257963E-004,-2.77639119475198E-005,-1.97764742712264E-004,2.96569425368437E-005,2.04615552247364E-005,-1.21519744237326E-004,-4.07193710078891E-006,8.86431881958733E-005,-7.52587145508617E-005,-5.96242280352800E-005,-2.48197408229510E-005,2.09830075311257E-005,-1.89899321066617E-005,-3.45017886842228E-005,3.24844830587856E-007,-3.31011909123525E-006,-2.05710698587662E-005,-2.35752704040351E-005,-1.41668257783575E-005,-8.54201145190920E-006,-1.22492948776010E-006,3.88337857350560E-006
novaehollandiae_C.584423_Barrington_converted,5.71511631711174E-002,5.08098896503875E-002,-4.68660131567327E-002,2.44822563831348E-003,-4.89838978363704E-003,-9.94440846133481E-003,-9.26094167860545E-003,3.14223537777471E-003,6.32768655997857E-003,2.79005237605037E-003,2.39986043872758E-003,-3.22532035972663E-003,-7.37602508296204E-004,9.47745173221608E-004,-4.65602359616941E-004,-8.23913302502480E-004,-6.35091430331222E-004,4.08217331793140E-004,-5.38097070718442E-006,1.62868088431490E-003,8.13544023641221E-004,4.17620524773570E-004,-1.47619133695355E-003,3.37429252128437E-005,-2.66698727767793E-004,-1.55944423164378E-003,-3.74783143021810E-004,-4.22743669586065E-004,5.15181447202715E-004,1.03200715934828E-005,7.51844889476928E-004,1.26027654649092E-004,1.55721653910970E-004,5.19358286764296E-005,1.42689687191445E-004,-7.06899028447421E-005,-4.85086522303196E-004,5.73373199371280E-006,2.03618152921470E-004,4.44877523512553E-004,9.08079481662435E-004,-1.06217595498730E-005,-1.72332365637731E-004,-2.81940792776389E-004,4.95254571150047E-004,-1.16430242006909E-004,5.24260867960729E-004,-1.41606294234121E-004,-3.65039999606386E-004,5.27298329818916E-005,6.93451882826654E-005,-4.83334965923966E-004,-2.13877215681666E-004,5.71054813354681E-005,3.57486259647402E-004,-1.36653051859802E-004,-7.30951291160364E-005,-7.07289932288395E-005,-5.45153217562906E-006,4.77035251286195E-005,-1.18778241036478E-004,-3.66013554066863E-005,2.88355044534279E-005,1.49643626201960E-004,-1.08480019653271E-004,-5.70437237093929E-005,-9.35604484334923E-006,5.49997564629131E-005,2.04258151848403E-005,2.18162819630438E-005,4.60928358869200E-005,7.36151558231623E-005,-2.00121061102264E-005,-4.49538458884598E-005,-2.04632825532494E-006,-2.01012015892961E-005,7.90759698842098E-006,-1.28778536749506E-005,-9.90830755463505E-006,-1.32193217329642E-005
mitchellae_C.584222_Lennox-Head_converted,1.61319983821986E-002,-1.41434206498723E-002,6.01789096976451E-003,-4.06904925869411E-003,7.06638152680137E-003,-1.49256733747151E-003,1.61113057094044E-003,-2.25855112826146E-003,4.11710149538651E-003,-9.14640758822090E-004,4.12490741592132E-003,-1.13424403542093E-003,1.98929794819610E-003,8.10090346854310E-004,-9.28135117308623E-004,2.54819707879440E-003,-7.41511134804278E-004,3.20038044904233E-003,-3.00472165645749E-004,-1.05995285632985E-003,3.78093729837431E-004,-3.53207567576632E-004,7.30059034159611E-004,7.59385626699726E-004,3.40612371231087E-004,-3.41646018064438E-004,-7.26821373896033E-004,7.06406278202231E-004,5.28522110337469E-004,3.01739961973458E-005,-7.93520438263930E-004,-1.41321917107592E-004,-2.08580748843988E-004,9.18205817020796E-005,-1.27203030501457E-003,-1.83217292528075E-004,-2.33867351077980E-005,1.17848645480681E-004,-5.25341617468347E-004,8.49449651156642E-004,-1.28685346223067E-004,-4.58644486285114E-005,-1.78613648324675E-004,-4.33508211517281E-004,3.69899739205682E-004,-4.98413519410773E-004,6.88065012668854E-005,7.51479809610204E-007,8.29995509470918E-006,4.17532495398906E-004,3.26162675006014E-005,2.86499269517123E-004,5.69022240292712E-005,-3.41499196610456E-004,-1.15630243697288E-004,-1.72651298260508E-004,2.38539504025900E-005,-2.38114688126831E-004,5.55559951997542E-005,-4.27659272231792E-005,-3.01894188412591E-005,-2.19660307848707E-004,8.83440621053409E-005,-1.07704163226079E-004,-2.90697645951012E-005,-8.21000743793340E-005,-4.01086311200919E-005,1.16682422957388E-006,-6.52361648658282E-005,3.01696051041060E-005,9.19888038974914E-005,-2.88642790971706E-005,-1.34028696307092E-005,6.40856217917807E-005,2.99081317538660E-005,-2.05434800702739E-005,-1.99616258515489E-005,-2.17586724933766E-005,7.25156733898888E-006,3.45483913970442E-006
novaehollandiae_C.488779_Forster_converted,5.82416391506804E-002,7.58468955469842E-003,-7.70533545171929E-003,4.19098158279040E-003,1.33498285890125E-003,1.56128929288465E-003,4.95891601565899E-004,-5.29620404308216E-004,1.07714424566389E-003,-2.69204883860932E-003,1.90528447031020E-003,5.69781221949845E-004,4.80303517984143E-004,1.54487587368262E-003,3.56477058203423E-003,6.22389331181017E-004,-3.66679791766204E-004,-9.08375654553030E-006,-2.14188638650164E-003,1.46324919639108E-003,-2.28824841830893E-004,-1.32520653398133E-003,1.52965248486509E-003,1.27872934284637E-003,1.41737159574028E-003,-5.53398358238773E-004,1.71866771958920E-004,-1.11882521295102E-003,-2.86800228784074E-004,1.36149777202487E-003,-2.84869029551550E-004,-2.89933404092591E-004,3.90781989448003E-004,-6.30428617647756E-004,5.51797961601950E-004,9.46195130659623E-004,1.17000126508504E-003,2.37335234698194E-004,6.21720996465184E-004,-2.92442681226420E-004,-7.20474088689796E-004,7.14032329713187E-004,1.11176883259306E-004,-6.92910572771826E-004,3.10871155586598E-004,4.97536098291632E-004,3.55234898906325E-004,-3.31250498883714E-004,2.45256649435323E-004,3.90014668831120E-004,1.19990754495573E-005,-3.15200995105988E-004,-4.17954962925516E-004,-3.16610437223005E-004,-3.36978426043624E-004,6.20750158324581E-005,5.22298797469783E-005,1.86752653909576E-004,7.12995017326597E-005,6.46934398902154E-005,1.03483318268988E-004,-4.72606979222593E-005,-6.61622369699656E-005,7.09467953812436E-005,5.23334739232407E-005,-2.70823209779376E-005,9.87100907626249E-006,-1.51771772107131E-005,-4.11786822779799E-005,-2.66603988434270E-005,1.80731670320995E-005,-1.02626183283077E-006,5.47669073926331E-006,-3.38010794406342E-005,-1.12673015709290E-005,3.58016881620176E-006,-1.91101455172439E-006,-1.27392955091101E-005,-2.84374734203076E-006,8.72656608647321E-006
