id,SV1,SV2,SV3,SV4,SV5,SV6,SV7,SV8,SV9,SV10
novaehollandiae_C.584421_Barrington-Tops_01,3.62061540574154E-004,1.11202040867283E-002,3.61034177114278E-002,2.16119729730496E-002,-1.43954963637264E-002,-4.08540369298885E-003,7.70035178899433E-003,-6.81747043903537E-004,4.49087043167975E-003,8.65087062093423E-004
novaehollandiae_C.584422_Barrington-Tops_01,6.13869475206588E-002,-8.86845952205359E-003,2.00189875087627E-002,6.53410565902346E-004,-2.41875816168829E-002,-8.56829530647561E-003,-1.93194407238219E-003,4.18372127575261E-003,-7.29044705495599E-003,-4.07704962342856E-003
novaehollandiae_C.584423_Barrington-Tops_01,-3.25764045414545E-002,1.27088581695221E-002,1.52715447104797E-002,4.03486290526800E-002,-5.89275072026929E-004,-5.08208760821750E-003,3.75369750741663E-003,-9.02717873714284E-004,-2.82973089653468E-003,-5.71952140049379E-004
novaehollandiae_QM10840_Bellengen_01,-5.87700645039294E-002,5.28742317688611E-002,1.01027599033074E-002,-5.97980938291433E-003,-2.99134930877439E-002,1.41147587027658E-002,-3.50667336638380E-003,-5.79240651725740E-003,6.80527394960321E-003,4.62849912805645E-004
novaehollandiae_QM127113_Acacia-Plateau_01,6.83240723692486E-002,3.76250841288844E-003,1.25361566468915E-002,2.88699808949174E-002,-7.73844234270974E-003,-8.92674857246397E-004,-1.00814784147567E-002,3.15882500446548E-003,2.79031911794317E-003,-7.77904966744396E-004
novaehollandiae_QM17248_Broader-Ranges_01,8.68322626145051E-002,-3.39429088971448E-002,-3.27222572614598E-002,-1.14210124090104E-002,-1.04757879635728E-002,-3.33020828294913E-003,-1.19685782068452E-002,-5.90960039442148E-003,1.18336889420675E-002,-2.74035097401933E-003
novaehollandiae_QM19139_Way-way_01,-3.35946701242709E-002,-1.13043016264328E-002,3.28063968984592E-002,7.01642596772444E-003,-1.53215064824852E-002,-1.40190576627251E-002,1.00964439633519E-003,6.40055538008868E-004,1.24312508855519E-003,-6.42204132979719E-004
novaehollandiae_QM31445_Boorgana_01,1.12362412547791E-001,-6.65672102492932E-003,4.58141403542216E-002,3.90661568859687E-003,4.57449104175363E-003,-2.20328824075442E-003,-1.90579410474815E-003,2.74582466164104E-004,-1.07872970864152E-003,1.31214923969230E-003
novaehollandiae_QM31867_Telegherry_01,1.30217613863626E-001,-1.46712733466173E-002,4.67430828570612E-002,1.78607103405620E-002,1.78066847551037E-002,-1.19563195832484E-002,8.05079737672513E-003,5.99250743943918E-003,1.90479366091076E-003,-1.55003606485874E-003
novaehollandiae_QM32917_New-England_01,9.19670578477079E-002,5.61250450162624E-003,-1.51422608266429E-002,-1.05302582226910E-002,1.10938342886282E-002,-1.20760961182386E-003,-9.41921904764056E-003,9.10299225941473E-004,1.65982939644347E-003,-4.40359961599559E-003
novaehollandiae_QM33065_Dorrigo_01,5.96305098291801E-002,6.34515233280396E-003,2.15838303927404E-003,-1.17910316433634E-002,-1.90512798788375E-002,-1.48280209753366E-002,3.88164442661243E-004,-3.04939183571289E-003,-1.22233670379259E-003,2.26875254160654E-003
