id,SV1,SV2,SV3,SV4,SV5,SV6,SV7,SV8,SV9,SV10,SV11,SV12,SV13,SV14,SV15,SV16,SV17,SV18,SV19,SV20,SV21,SV22,SV23,SV24,SV25,SV26,SV27,SV28,SV29,SV30,SV31,SV32,SV33,SV34,SV35,SV36,SV37,SV38,SV39,SV40,SV41,SV42,SV43,SV44,SV45,SV46,SV47,SV48,SV49,SV50,SV51,SV52,SV53,SV54,SV55,SV56,SV57,SV58,SV59,SV60,SV61,SV62,SV63,SV64,SV65,SV66,SV67,SV68,SV69,SV70,SV71,SV72,SV73,SV74,SV75,SV76,SV77,SV78,SV79,SV80,SV81,SV82,SV83,SV84,SV85,SV86,SV87,SV88,SV89,SV90,SV91,SV92,SV93,SV94,SV95,SV96
novaehollandiae_C.584421_Barrington-Tops_01,1.18679397088445E-002,-8.51351599736347E-003,9.28602730861229E-003,1.31892905299190E-004,6.36875424534148E-005,1.32205813077568E-003,3.06922471236930E-003,-4.72593791165096E-003,-3.25340071535067E-003,-3.33590984957311E-004,2.92855624641768E-003,-2.68871714481593E-004,-2.49802413531325E-003,2.86409081209285E-004,2.01116891624718E-004,5.84044535270769E-004,7.24075623670078E-004,1.13010322370747E-003,-6.25674763837456E-004,-5.01246897671115E-004,-4.13675094637486E-004,1.60292303754177E-004,4.04039269932671E-004,3.03292776586513E-004,-4.22512607434938E-004,-4.93106824181400E-004,7.10610600786433E-004,5.30362401280840E-004,-1.81696156672972E-004,7.13640208100819E-004,6.99144498810117E-005,3.20573329157259E-004,4.79778831828039E-004,5.01977828339249E-004,5.86271406156050E-006,3.70971264474826E-004,5.22560842465909E-005,-1.54514739673528E-004,-1.91057895595525E-004,2.45781871497196E-004,-7.46377380438489E-005,3.22786543039952E-004,5.21472400691608E-005,-1.83036405138792E-004,5.09692395126541E-006,1.21081246408458E-004,-3.88677551534500E-005,-5.53616463765540E-005,-3.59922729260582E-005,-3.85539959201350E-005,-1.06061055492532E-004,-2.06747476975421E-004,6.90159349007097E-005,3.31546950391059E-005,7.71753413562005E-005,-3.57027220086061E-005,-4.27390380348467E-005,1.87877646373022E-004,-9.77639715772079E-005,-1.37243091776136E-004,7.46322494466651E-005,-3.82635576495645E-005,1.35248852644363E-004,-1.18232724899338E-004,6.43728308187290E-005,4.93186357513345E-005,-6.80122245559481E-005,-5.52006627235321E-005,2.12946228433109E-005,-9.44282718656360E-006,1.12430407670652E-005,8.11609740345331E-005,5.83142405738132E-005,-5.90247438059591E-005,-5.83073825885481E-006,1.30444851057980E-006,6.22082690428080E-005,9.75481050096060E-005,1.08813642666893E-004,8.38957638145290E-005,2.46366567745641E-005,5.14461961522385E-005,9.14601201216628E-006,-2.00848244056946E-005,-5.30086957929359E-006,2.98759579627444E-005,-2.62649576211572E-005,-2.19013928645367E-005,2.56195333207036E-005,-5.48305201664469E-005,4.89551557646812E-005,7.47993529597984E-005,6.31785227824074E-005,9.89729325029429E-006,2.72967772088013E-005,1.27171581497241E-005
novaehollandiae_C.584422_Barrington-Tops_01,-2.19002505301261E-002,-3.43094708980548E-002,1.65486459953082E-003,1.57738948657617E-002,5.95724048036894E-003,4.81666020422299E-003,2.52761962794377E-003,4.97370492642434E-004,1.17013255091998E-003,-1.64624959422257E-003,5.24851934355691E-004,-3.61652112737626E-003,-3.53826410486639E-005,-2.72793059771475E-005,-8.29951340345847E-004,1.24535019089923E-003,-2.37659016696030E-004,-5.21639108009813E-004,-9.32791541699078E-004,1.27241333346605E-003,-2.74635461598295E-004,-2.72146162600294E-004,6.46130426385643E-004,2.85112327765898E-004,-7.22897611534233E-005,-2.95252069785682E-004,-6.20199837285125E-004,-1.86464870975432E-004,-3.32014214113280E-004,-4.92977897408683E-005,2.19020645174235E-004,-4.92447071229133E-004,1.32030790781193E-003,1.03734906467464E-003,1.52500886248841E-004,1.92810423791460E-004,4.21725996825720E-004,-3.02857553974723E-004,-4.65951357215812E-004,-3.06312865516107E-004,1.05638473167007E-005,-2.09374222691072E-004,5.96168139889265E-005,2.11280847225137E-004,3.65931032636259E-005,5.41504756304090E-004,6.89362144920387E-005,2.53160012962979E-004,4.50330617919252E-004,-3.99523007545606E-004,-5.69199350921506E-005,-1.44249631151873E-004,-3.71721944580752E-004,1.67349117224206E-004,-1.25470001408380E-004,-8.13062318651656E-005,-1.57984899314455E-004,-2.06768378926442E-004,-1.53985603699261E-004,3.09964708092097E-005,4.73441963488375E-005,-3.77573690888438E-004,-1.28508628794846E-004,7.01407731499149E-005,8.29658836381115E-005,1.01166112578078E-004,1.76977365199668E-004,-3.01081108250385E-005,1.44488835886371E-005,-6.10343499588041E-005,3.42649842255527E-005,1.21706428923461E-004,1.97324783044316E-005,-1.48902097568824E-004,-1.79965366736791E-004,3.88214562393672E-005,-3.68611849811733E-005,-6.09227704520354E-005,4.84295313122390E-005,1.54112802378349E-005,5.33834039280024E-005,3.99295056069763E-005,-5.57389063148869E-006,-9.36087128217613E-005,-3.76388275518904E-005,9.74767835104296E-006,-6.21818649811543E-006,1.45975060753401E-005,5.74179122662285E-005,-6.06421818406621E-005,-2.25975308410947E-006,-9.43591017072422E-005,5.12088536233132E-005,1.74037683673671E-005,-2.96386996638713E-005,-1.71725484328959E-005
novaehollandiae_C.584423_Barrington-Tops_01,4.52409918031836E-003,-4.35287253701870E-002,-6.01590025777115E-003,-2.98670867133305E-003,-6.42904866983033E-004,-3.48330302497007E-003,-1.62167177541340E-003,-1.93090606682527E-003,8.93779309910767E-004,-2.51675350758328E-003,3.08543653405679E-003,-1.72624572341977E-003,-1.59203481611617E-003,-1.88204629461181E-004,-2.14964085878112E-004,9.94809336387965E-004,1.23602516449242E-003,-6.04953128985951E-005,-4.64077346765808E-004,-2.30791388878863E-004,-1.17096814235813E-003,-1.65324638861487E-003,8.26102382227439E-004,4.00806993539539E-004,3.60953099634708E-004,-2.42698110338983E-004,-1.02172765443636E-004,7.52841143904015E-004,-3.21150973598425E-004,8.04518592780578E-004,-3.35865069749904E-005,3.37556526009074E-004,-1.86630594075262E-004,-4.74565662532134E-005,-9.34757475252948E-006,-9.25413784443928E-005,7.21588178959292E-005,3.21669474148797E-004,4.88539136319482E-004,-3.66102328099618E-004,3.05495859667764E-005,3.07882394790740E-004,3.01181332018865E-004,4.03579487549399E-005,-4.31640733424447E-004,7.45935435895854E-005,-1.52094976393655E-005,-1.32557280404640E-005,1.27339626199537E-004,-3.69156458191967E-004,-2.22094404349708E-004,-1.74023304632745E-005,1.26802642240371E-004,1.14752175026019E-004,-1.53879269185233E-004,4.64852210434285E-006,1.02572756892630E-004,1.30469392530326E-004,1.09891119628884E-004,1.35470557701492E-004,-1.79919514195266E-004,1.07947150641680E-005,8.87553581946551E-005,2.25350184574561E-004,-1.51076863441753E-005,8.26344522594017E-005,2.44085345905407E-004,7.86976794071955E-005,-1.85624923459230E-005,1.36876257503556E-005,-1.19466280636601E-004,-8.41478997598884E-005,5.84304931414086E-005,-1.64857698511767E-005,-4.18435190601739E-005,-4.98393590316873E-005,-9.71314496953782E-005,-8.50493630819554E-005,-4.29084075328136E-005,7.22047017689490E-005,2.01886168897666E-005,-3.78653252012063E-005,9.05119205242444E-006,-4.87536792797644E-005,6.76354564894565E-008,-2.66451848254723E-005,-1.55450050175499E-005,2.06808062701552E-006,-7.84252402492031E-005,3.39070056167503E-005,-8.81525312850195E-006,-3.55823293178692E-005,-2.13805267297864E-006,8.83539817112056E-006,4.29120462634417E-006,1.30485144226983E-005
novaehollandiae_QM10840_Bellengen_01,4.53694282206674E-002,-1.13333872112287E-002,2.25349011714453E-003,1.08228584084407E-002,6.70957468568918E-003,-1.94581408407608E-003,-5.74368212968458E-003,9.63453407242904E-003,2.59236954400050E-003,3.49457754001343E-005,-9.34672160481598E-004,-6.49089135712020E-004,1.08728797914497E-003,5.61966358406765E-004,8.44245757816584E-007,-1.75876857435275E-003,-1.71089205039226E-003,-8.09798249725410E-005,1.26771657435096E-003,1.38459200857266E-004,1.22304010292015E-003,-7.37922722960171E-004,2.30532630999465E-004,-2.80459323425142E-004,-3.60191530100194E-004,6.64190008942984E-004,-6.71435709842118E-005,6.96755943414398E-004,-1.78858373862880E-004,6.72958538183760E-005,3.31128031026242E-004,1.06167440208469E-004,-1.27525729409552E-005,4.59119190356508E-004,3.97309394050235E-007,-8.10184499167563E-004,2.73483287730824E-004,-1.37907518951571E-004,2.04373956612988E-004,-3.28490829632093E-004,1.26827048086784E-004,5.20122433851847E-004,2.50145873029638E-004,2.80292124691332E-005,9.42944752539187E-005,-4.07386114324143E-005,-2.15837777184626E-004,1.36385231729590E-004,-8.44897890995935E-005,6.48799807691774E-005,-8.55941066690230E-006,2.05812909912499E-004,-4.02070163239698E-004,-2.91503264451396E-005,1.45865882682924E-004,-1.04089800013167E-004,-3.34204991914110E-005,7.72638503685342E-005,-1.78188529085906E-004,-1.54305966173118E-004,-9.90461996433620E-007,6.37690747302957E-005,1.64845232588000E-004,6.21333248700586E-005,-2.94650093663158E-006,-2.44266456404514E-004,-1.23021083085629E-004,1.51285119746330E-005,4.40249082404190E-005,-1.75408603529156E-004,4.19113007286705E-005,3.84304870083983E-005,-4.71189310584881E-005,-3.08143898336447E-005,3.59025994828592E-005,2.66302719032376E-005,9.24457856740032E-005,7.66701875223091E-005,-6.13994070641109E-005,1.71987248202296E-005,3.48873918944053E-005,-1.56743194879246E-005,1.30711455226341E-004,-5.85255905370605E-006,-8.60405708972954E-005,-8.65252460943586E-005,1.18914578804529E-005,7.57858849538049E-006,-1.73941020994066E-005,6.03083908369612E-005,-8.25623415555789E-006,1.47490814155054E-007,4.84591465155196E-005,-6.09410710275357E-005,-2.14730384340509E-005,5.06307903063763E-005
novaehollandiae_QM127113_Acacia-Plateau_01,-1.43171679696763E-002,-4.30514889875841E-002,-6.46031221124049E-003,6.43930178595726E-003,4.62806080254950E-003,4.01172799391958E-003,-3.08512756916137E-003,-4.28800773976536E-003,-1.79499642730022E-005,-2.72284334264024E-003,-5.45112485549322E-004,-7.69721195622864E-004,9.13609064460091E-004,2.01490299283661E-003,3.74532314522418E-004,1.55949381609731E-003,-1.89919868303797E-003,6.27456751181808E-004,1.62370737613959E-003,-9.37671523546951E-004,-8.87262667165600E-004,-8.67822075523339E-004,-5.90360486926551E-005,2.09853549104154E-004,-2.64501580202381E-004,-7.02162405555688E-004,1.00954090970714E-004,-7.59144527753806E-004,-6.03387635767160E-005,3.48568755310734E-004,3.08986493836318E-005,-4.69817256138187E-005,-7.17986756067887E-004,6.25275304618654E-006,5.43292608734414E-004,4.21822428339423E-004,1.33204738763112E-004,-3.09652312889609E-004,-3.34768192598625E-005,-1.13186817082372E-004,5.36171832663299E-004,-1.90168229178472E-004,5.07048559208425E-005,-3.09472197720229E-004,-1.15434858048496E-004,-1.52842740365378E-004,2.55257970028023E-004,2.00412245975972E-004,4.20216978358978E-005,-8.90470055534375E-005,-2.47884817166505E-005,-1.71177929889935E-004,-4.75594241910319E-004,-2.30563678650339E-004,-8.63606417278060E-005,1.54752900908444E-004,1.17996135374798E-004,-1.63772546757704E-004,-2.33046546310026E-004,-4.72668735658045E-005,5.93355122043411E-005,1.09041237239933E-004,1.84419065284527E-004,-7.95712758206476E-005,4.05351900559464E-005,-6.63934604479613E-005,-8.23284708055587E-005,-2.52227506737023E-005,2.54670275556907E-005,-6.82271371383556E-005,9.25111855772179E-007,-8.35849792206565E-006,-5.15012123621987E-005,5.49642323914159E-005,-7.23723401280010E-005,-5.35860433699516E-005,-2.86516472941680E-005,-5.83996770298315E-006,6.78417465370144E-006,5.47116445473013E-005,-3.96196041246438E-005,1.81631217990382E-005,2.37761748459478E-005,4.66393837948030E-005,-1.42496966156785E-004,6.69174819020979E-006,1.59343981487884E-005,5.16366422471883E-005,2.14643307099056E-005,1.43728059644536E-005,1.27769273465861E-005,-6.12752208402734E-005,3.36165858020472E-005,-2.33913194596601E-005,-1.62910258701422E-005,5.09920768584548E-005
novaehollandiae_QM17248_Broader-Ranges_01,-2.06952752682200E-002,-2.37328916028723E-002,1.81522133195874E-002,1.34860773299420E-002,1.52423235816033E-003,-3.84262061127947E-003,-1.27262784160844E-003,3.98033050327305E-004,-1.55359713416655E-003,2.84168753197780E-003,-3.24926190603168E-004,1.38319545397509E-003,6.07772089130965E-004,-1.76955140197992E-003,-3.46757438484717E-003,2.24477595415345E-004,-8.53972844970772E-004,-1.27468818284236E-003,4.04204007899566E-004,-1.14788589661068E-003,3.97769066376657E-004,5.97684845116734E-004,1.17011278999878E-003,-2.00218116050385E-005,-6.43585847675449E-004,-4.97024584829897E-004,-3.72133077398592E-004,-1.95246555956978E-004,-1.58324386309718E-004,4.54988885725543E-006,3.59439566356414E-004,4.42715549555742E-004,7.86687476702947E-004,1.93412459893786E-004,9.27215298254550E-005,8.89691838255377E-005,-3.10748683263993E-004,-1.71027658167826E-004,3.76108116334623E-004,1.02730781126876E-004,1.08290229978321E-004,-5.65160648869564E-004,-3.93275810106508E-004,2.38499472329137E-004,-1.48316664494382E-004,3.83957643723042E-005,3.39934026526022E-004,2.87214801588153E-004,-2.69461828442488E-004,2.27075204131115E-004,-2.42496814523252E-004,4.10586802974654E-004,3.16748839755939E-005,-2.24407092444589E-004,-4.76317310485754E-005,8.77561436930044E-005,-1.33644754470032E-004,-1.85918645778516E-004,-1.00332315015305E-004,-1.77642182246611E-004,1.15390793823484E-004,8.43037232313085E-006,4.87754936926333E-005,-4.98941390435811E-005,1.39034712590571E-005,-7.25828955970398E-005,-1.80190043330919E-004,-6.19527400256994E-006,4.93998696496034E-005,5.62216126147957E-005,5.29345772425675E-005,5.29888777254169E-005,2.27277446810640E-005,-5.34927959530323E-005,2.87596585773691E-005,-1.14093235873422E-004,-5.15038137044633E-006,3.50327921529879E-005,-4.13093503342692E-005,-9.53504842811357E-006,4.27688615568880E-006,2.82241168910705E-006,-2.13836635483132E-006,3.01074379087405E-005,8.20889047103962E-006,5.58087113970291E-005,-3.71663767396504E-005,-1.99387869599265E-005,-2.73202508789959E-005,-1.29027919347068E-005,-1.82553050380876E-005,8.37030960663131E-005,-5.81259083402787E-005,8.86873382540521E-006,1.32203580031827E-006,-4.65755254147516E-005
novaehollandiae_QM19139_Way-way_01,2.76862866119930E-002,-2.44907338593218E-002,-2.09292715954094E-002,-3.32836609163810E-003,-8.54403397263650E-004,-5.12456589136520E-004,2.89567480235062E-003,-4.36842777813273E-003,3.48202370606448E-003,-1.68731515989644E-003,1.29737424297130E-003,1.52802635311080E-004,-1.19516293193167E-003,6.98681264118398E-004,-4.53077700924046E-004,-4.59260888039437E-004,-4.35056060961587E-004,-3.17202416054670E-004,6.19517644092274E-004,-1.02700377074532E-003,-1.99583071300882E-004,-7.76729110632182E-004,8.79277958276017E-004,2.89517991034130E-004,3.27530228980525E-004,1.39031068123807E-004,9.18020004669725E-005,-5.06479739579916E-004,-4.66080230413864E-005,5.51853340602667E-004,-5.24959563109804E-004,3.39994081962190E-005,2.34872717057573E-004,1.89428589708839E-004,-1.11120722358503E-004,5.63735787234344E-005,-1.09217762246951E-004,1.84564880261490E-005,3.52070873748636E-004,2.48505341017951E-004,-1.15912369567776E-004,-9.18346357655528E-006,5.15914640881096E-005,2.21304710062008E-005,-1.46771168144826E-004,2.41060475299872E-004,-4.59580027074964E-005,7.42059625827294E-005,-3.75827865072969E-005,-4.53779586609587E-005,-1.05256717458909E-004,-9.61575724207015E-005,-2.17643450653109E-005,-1.00640422117463E-004,-7.03331825692514E-006,2.33944246143611E-004,3.10324117383078E-005,1.29449553377503E-005,2.14008735691075E-006,2.39605276730125E-005,-4.63752872957951E-005,-1.96343437998580E-004,-1.02741083909855E-004,-7.47851366992491E-005,-7.33593461497827E-005,-8.00170631721611E-006,3.16684550791441E-005,3.01782346376592E-005,3.82745008690937E-005,1.03786955197309E-005,5.89242256368031E-006,-8.20145053906225E-005,-3.39328589249245E-005,1.29822982183878E-005,7.58378474312017E-005,4.17636030969462E-005,3.07924110634947E-005,3.77398468919166E-005,-2.65815514645930E-005,-4.62125936177743E-005,3.52777834657882E-005,2.52798870579742E-006,-3.65867489921410E-005,-3.55863223459996E-006,-5.87161058332060E-005,-2.15476617547460E-005,2.03650534481655E-005,2.69552804457854E-005,1.20470268340589E-005,-5.30158607651521E-005,-9.97116375629316E-005,-8.40574973572475E-005,-3.88175387717257E-005,7.43465487304719E-005,5.13872842916687E-005,5.87824574544298E-005
novaehollandiae_QM31445_Boorgana_01,-4.27528110535384E-003,-4.96514966603849E-002,8.90216744812731E-003,3.15002092617501E-003,-1.54736925238228E-002,1.79512426551777E-003,-2.63111220710001E-003,1.95946063294536E-003,-3.23834053069299E-004,3.44079128424357E-003,1.09331260450928E-003,-1.54616610816377E-003,-3.88922097363314E-004,4.62319696979169E-004,-2.06944336709911E-003,-1.26590564445392E-003,1.03152797548052E-003,5.01263269197445E-004,-2.03177086822489E-004,-1.44513644180710E-003,-3.76889680774683E-004,5.34271910146990E-004,8.28206031904785E-004,5.59236531988671E-004,-4.30980996256341E-004,-6.64157439750665E-004,7.49758187350471E-004,-5.64431631148824E-004,1.41459751898115E-004,6.49718554945635E-004,4.73379870089916E-004,-2.91498948605300E-004,-3.20029381336858E-004,3.72507610738649E-005,4.29786840292868E-004,4.40017850998690E-004,-5.03823364356917E-004,2.95391052483921E-004,-1.95474516827691E-004,-4.47984487863744E-004,7.44793869179468E-005,1.27769189175167E-004,3.09799809795397E-005,-2.75415500128811E-004,2.33261610284583E-005,2.35140949906270E-004,-3.24878192236635E-004,9.82179734185679E-005,-3.89827174021259E-004,2.55383652372320E-004,6.18806292647546E-005,-6.56865171037948E-005,2.34226769298127E-004,2.77583636193231E-005,-2.05105629588073E-004,-3.54701690536637E-004,-2.71752794778375E-004,1.48586466330635E-004,-1.82428786650015E-004,-2.38177613122109E-004,-9.81184259878395E-005,-4.24933711755942E-004,6.50079067266649E-005,7.81695330700401E-005,-1.17794138888313E-004,-2.91417231651952E-005,3.24481822207347E-005,2.03960480466350E-005,9.60732295192293E-005,1.30368167236624E-004,-4.32291240455035E-005,7.87940314518693E-005,4.64848030612796E-005,-9.04207148708093E-006,1.73539868391284E-004,2.86611803039650E-005,8.19828705776071E-005,-7.94775726664790E-005,-3.09620347449877E-005,-6.44762570722964E-005,2.31172442045307E-005,-8.72636226436432E-005,-2.97999735149049E-005,-1.13055867251482E-007,-3.48205623568351E-005,7.32459780033745E-005,5.76679804531369E-005,-2.64074112413713E-006,5.42942357096407E-005,-5.19896814020628E-005,-2.15335968867175E-005,-4.16812726972870E-005,-7.93302623362466E-006,6.32776127813927E-005,3.08619984169673E-006,4.00172249940465E-005
novaehollandiae_QM31867_Telegherry_01,-1.73336873244557E-004,-4.31163983615529E-002,-1.42337890294320E-003,5.41664906998075E-003,-9.36765887301907E-003,5.15795937864956E-003,-1.60721072319621E-003,2.27254150235329E-003,-4.71336999946305E-003,-2.53418481403437E-003,-1.05432238509283E-003,-1.05100559791713E-004,-9.27462218430270E-004,2.33403199518852E-003,-4.05468053319529E-004,1.00121819790740E-003,-1.79845581472026E-004,1.22472210557395E-004,-6.54060127254368E-004,-6.35003607533640E-004,-6.90282575656645E-004,4.64837854003086E-004,-1.22962836629578E-003,-7.66046901213910E-004,-1.61571512319385E-003,-2.84062483719707E-004,-6.27711476652170E-004,3.96685913211128E-004,1.51434367343761E-004,3.96259563641271E-004,4.01101104732611E-004,-3.40237450660642E-004,-7.93658887499158E-005,1.36521732398453E-004,-3.55764708280091E-004,4.54572582915099E-004,-1.59369232202835E-004,-1.03645252080498E-004,2.40676652430751E-004,-5.41561240051937E-004,2.56438708617527E-004,-2.88652366293186E-004,-7.62430875834830E-005,-3.02449772787911E-004,5.48285514527230E-005,5.61457754795649E-005,-1.54632928674988E-004,-7.23338983384308E-005,-1.31815705301795E-005,4.87183890223830E-005,3.02271604521421E-004,-8.40330224164243E-006,2.30170806382164E-004,1.24580295919196E-004,-1.20818512707586E-004,-9.91117389788370E-005,-2.81754692467369E-004,-2.51095312214995E-004,-1.70183302134902E-004,9.42338257250506E-005,-8.94885050148200E-005,-7.59637177725067E-006,1.31649708303517E-004,5.93047054670495E-005,2.12098123605431E-006,-2.02009823389379E-004,-1.29268467723442E-004,-4.44579992977471E-005,1.59645811205901E-005,-2.14485655893260E-005,-4.87518770557558E-005,-5.28593671072996E-005,-1.03368717375677E-004,-2.26943340399283E-005,8.76559889157069E-005,-2.44367776360670E-005,7.04124903216354E-005,5.37613852633174E-005,-1.18410210556458E-005,-2.58337911822743E-005,5.28162556506608E-006,-8.24564567846890E-006,6.65143859394015E-005,-2.62062154690855E-005,-2.15595775239432E-005,-3.44172990338213E-006,-4.04613748897270E-005,6.85882929239355E-006,-1.20691631413822E-004,5.96503399698779E-006,-3.67561987498890E-005,2.45006074141451E-005,-2.02813162634945E-005,1.02430916427370E-004,-2.87575595445817E-005,-4.66970167080440E-005
novaehollandiae_QM32917_New-England_01,7.16530333996474E-003,-3.11392929562877E-002,2.93119933389281E-003,2.04844871351637E-003,-9.77006625612285E-003,1.29120988365708E-003,-3.75468115784795E-004,-1.83367866916120E-003,4.23211959973926E-004,-1.36041713224603E-003,-9.08659341392746E-004,1.61470615150918E-003,-1.19154994427752E-003,-7.68992213923597E-006,7.72029424500350E-004,1.79563110023399E-003,1.56518205740434E-005,8.37783131089497E-004,-9.42763143567171E-004,9.69938269300782E-004,-1.03277668498473E-003,-7.46714283457356E-004,-7.89940945867243E-005,-4.49442242769679E-004,-5.06558305048833E-004,5.44741450547984E-004,-2.72908650101024E-004,-1.59895582540146E-004,1.07098063637952E-003,1.65489244553961E-004,-7.70107774511709E-004,9.04496289580684E-004,-1.95415907474941E-004,-1.36117368796084E-004,-5.72606844757022E-004,4.84533307065695E-004,4.88997825992275E-004,-4.67967514820855E-004,9.07073099233465E-005,-2.79833209995445E-004,-2.53775749214502E-004,3.64679745126636E-004,5.53537145577808E-005,2.91203537692945E-004,3.06064810419912E-005,1.11265388457423E-004,-2.70995391691394E-004,-1.77586807534266E-004,-1.17824104142710E-004,-1.40702708929837E-004,1.62898042194430E-005,-6.19126614351529E-005,-1.96756845541686E-004,-6.84804537813142E-005,-7.49877917021162E-005,5.95167352301066E-005,-1.82913257769977E-004,-1.40709414209062E-004,1.67355545503149E-004,-8.83488010996732E-005,4.05140625879837E-005,-8.18552569680369E-005,-9.95164018149007E-005,-2.07145046826597E-005,-1.13874879117219E-004,-1.15261182287573E-004,5.57829586047073E-005,-1.14112977216206E-004,7.86736998665240E-005,-2.31938489684688E-005,4.93839071492053E-005,1.64159776909128E-004,6.98626542724329E-006,-7.89972853171464E-005,-5.13421064789447E-006,8.99042963661425E-005,-5.23251169015239E-005,-3.85632070449615E-005,-5.51405404071505E-006,-9.57224645763090E-006,-4.75321456044200E-005,4.19967970211222E-005,5.36519478268160E-005,-7.42288482086042E-006,1.43771635637319E-004,-7.46504249440116E-005,3.92989402308798E-005,4.93939800123218E-005,-2.00364419874149E-005,5.58113365970324E-005,1.06421782656138E-005,-1.75996482598743E-007,-2.13415693977598E-006,2.43150939661208E-005,-3.61929440572778E-005,1.12178348831536E-004
