seq,id,pop,lat,lon,code,note,Width,Height,phallus,epiphallus1,epiphallus2,epiphallus,flagellum,umbilicus,lm,slm1,slm2,fl50
3902_nova,3902,novaehollandiae,-29.55305556,152.2311111,AM C.589238,,4.552,3.88,?,?,?,?,?,0,0,0,1,?
4360_mitc,4360,mitchellae,-28.48861111,153.5358333,AM C.584209a,,4.818,4.345,0.687,1.165,1.506,2.671,0.898,0,1,0,1,1
4361_mitc,4361,mitchellae,-28.48861111,153.5358333,AM C.584209b,,4.818,4.345,0.687,1.165,1.506,2.671,0.898,0,1,0,1,1
4362_mitc,4362,mitchellae,-28.48861111,153.5358333,AM C.584210a,all:C.584209a,4.818,4.345,0.687,1.165,1.506,2.671,0.898,0,1,0,1,1
4363_mitc,4363,mitchellae,-28.48861111,153.5358333,AM C.584210b,all:C.584209b,4.818,4.345,0.687,1.165,1.506,2.671,0.898,0,1,0,1,1
4364_mitc,4364,mitchellae,-28.64916667,153.6116667,AM C.584214,,4.696,3.4,1.306,1.072,2.359,3.431,1.138,0,1,0,0,1
4365_mitc,4365,mitchellae,-28.66222222,153.6116667,AM C.584218,,5.616,4.928,1.009,1.041,2.451,3.492,1.186,0,1,0,1,1
4366_mitc,4366,mitchellae,-28.66222222,153.6116667,AM C.584219,,5.082,4.917,1.256,1.212,1.621,2.833,0.91,0,1,0,1,1
4367_mitc,4367,mitchellae,-28.79083333,153.5858333,AM C.584222,,?,?,0.767,0.658,1.227,1.885,0.803,?,?,?,?,1
4368_mitc,4368,mitchellae,-28.64555556,153.6044444,AM C.584216a,shell:C.584217,4.32,3.872,?,?,?,?,?,0,1,0,1,?
4369_mitc,4369,mitchellae,-28.64555556,153.6044444,AM C.584216b,shell:C.584217,4.32,3.872,?,?,?,?,?,0,1,0,1,?
4370_nova,4370,novaehollandiae,-30.23694444,152.3780556,AM C.561022,,?,?,0.651,0.406,0.945,1.351,0.301,0,?,?,?,1
4371_nova,4371,novaehollandiae,-31.34888889,151.6077778,AM C.575474,,4.994,4.532,1.132,0.957,1.1,2.057,0.52,0,0,0,1,1
4372_nova,4372,novaehollandiae,-31.37194444,152.2480556,AM C.575476,,?,?,?,?,?,?,?,?,?,?,?,?
4373_nova,4373,novaehollandiae,-29.78616386,151.9683527,AM C.544967,,?,?,?,?,?,?,?,?,?,?,?,?
4374_nova,4374,novaehollandiae,-31.41388889,152.175,AM C.575477,,3.833,3.701,0.454,1.341,1.135,2.476,0.454,0,0,0,1,1
4375_nova,4375,novaehollandiae,-30.23694444,152.3780556,AM C.561028,gen:C.561022,?,?,0.651,0.406,0.945,1.351,0.301,0,?,?,?,1
4376_sp_Coola,4376,sp2,-31.82305556,150.2022222,AM C.271928,,3.35,2.65,0.636,0.379,0.319,0.698,0.284,1,0,0,0,1
4377_sp_MtKap,4377,sp1,-30.28083333,150.1633333,AM C.477014,all:C.478667,2.249,1.679,0.511,0.386,0.481,0.867,0.357,1,0,0,1,1
4378_nova,4378,novaehollandiae,-28.34083333,152.3722222,AM C.582443,,3.249,1.989,0.454,1.341,1.135,2.476,0.454,0,0,0,0,1
4379_nova,4379,sp2,-31.82166667,150.2052778,AM C.271927,,3.728,3.288,0.453,0.659,0.346,1.005,0.229,1,0,1,0,1
4380_sp_MtKap,4380,sp1,-30.29305556,150.1708333,AM C.478667,,2.249,1.679,0.511,0.386,0.481,0.867,0.357,1,0,0,1,1
4381_rich,4381,richmondiana,-28.56666667,153.3166667,AM C.512638,all:C.348955,5.841,3.894,1.67,1.2,1.783,2.983,0.653,0,1,1,0,0
4382_nova,4382,novaehollandiae,-30.78694444,152.9480556,AM C.591343,all:C.272195,4.307,3.394,1.151,0.967,0.823,1.79,0.709,0,0,0,1,1
4383_nova,4383,novaehollandiae,-31.66611111,152.1411111,AM C.593275,all:C.272199,3.784,3.488,0.612,1.196,1.091,2.287,0.26,0,0,0,1,1
4384_nova,4384,novaehollandiae,-32.24722222,151.7283333,AM C.206426,shell:C.112184,4.147,3.042,?,?,?,?,?,0,0,0,1,?
4385_nova,4385,novaehollandiae,-30.46861111,152.5327778,AM C.465644,fl50:C.272196,4.52,3.84,0.842,1.118,0.806,1.924,0.365,0,0,0,1,1
4387_nova,4387,novaehollandiae,-30.80388889,152.1038889,AM C.506212,all:C.105165,3.839,3.421,0.612,0.662,1.141,1.803,0.377,0,0,0,1,?
4388_nova,4388,novaehollandiae,-32.25083333,152.3397222,AM C.466372,all:C.272205,5.192,3.832,1.285,0.639,1.01,1.649,0.569,0,0,0,1,1
4389_nova,4389,novaehollandiae,-31.73027778,152.1441667,AM C.459674,all:C.272199,3.784,3.488,0.612,1.196,1.091,2.287,0.26,0,0,0,1,1
4390_nova,4390,novaehollandiae,-29.55,152.2333333,AM C.512366,shell:C.589238,4.552,3.88,?,?,?,?,?,0,0,0,1,?
4391_nova,4391,novaehollandiae,-30.83194444,152.0369444,AM C.506307,all:C.105165,3.839,3.421,0.612,0.662,1.141,1.803,0.377,0,0,0,1,?
4392_nova,4392,novaehollandiae,-30.23333333,153.1,AM C.517182,,5.36,4.032,1.299,1.016,1.18,2.196,0.216,0,0,0,0,0
4393_nova,4393,novaehollandiae,-29.53333333,152.25,AM C.512362,shell:C.589238,4.552,3.88,?,?,?,?,?,0,0,0,1,?
4394_nova,4394,novaehollandiae,-30.87888889,152.7788889,AM C.591332,,?,?,?,?,?,?,?,?,?,?,?,?
4395_nova,4395,novaehollandiae,-32.34277778,152.4466667,AM C.488779,,4.829,3.949,0.986,0.848,1.389,2.237,0.623,0,0,0,1,1
4397_nova,4397,novaehollandiae,-30.53166667,152.0333333,AM C.575475,all:C.105165,3.839,3.421,0.612,0.662,1.141,1.803,0.377,0,0,0,1,?
4398_nova,4398,novaehollandiae,-31.13111111,152.8211111,AM C.591318,,?,?,?,?,?,?,?,?,?,?,?,?
4399_nova,4399,novaehollandiae,-31.36888889,152.2661111,AM C.593231,,?,?,?,?,?,?,?,?,?,?,?,?
4400_nova,4400,novaehollandiae,-31.56694444,152.395,AM C.593219,,?,?,?,?,?,?,?,?,?,?,?,?
4401_nova,4401,novaehollandiae,-31.37888889,152.2619444,AM C.593228,,?,?,?,?,?,?,?,?,?,?,?,?
4749_nova,4749,novaehollandiae,-30.31138889,152.9380556,AM C.378345,all:MO.33097,4.719,3.421,1.218,1.258,2.107,3.365,0.248,0,0,0,0,1
4750_nova,4750,novaehollandiae,-30.46861111,152.5327778,AM C.465639,,4.422,4.07,1.181,0.821,1.159,1.98,?,0,0,0,1,?
4751_nova,4751,novaehollandiae,-30.78694444,152.9480556,AM C.591344,all:272195,4.307,3.394,1.151,0.967,0.823,1.79,0.709,0,0,0,1,1
4752_nova,4752,novaehollandiae,-31.61083333,152.0205556,AM C.460234[=460243],,4.792,3.736,1.581,1.174,1.301,2.475,0.297,0,0,0,1,1
4753_nova,4753,novaehollandiae,-31.66694444,152.1430556,AM C.593269a,,4.176,3.744,1.376,1.091,1.169,2.26,0.405,0,0,0,1,1
4754_nova,4754,novaehollandiae,-31.66694444,152.1430556,AM C.593269b,,4.176,3.744,1.376,1.091,1.169,2.26,0.405,0,0,0,1,1
4755_nova,4755,novaehollandiae,-31.31805556,151.8633333,AM C.459669a,all:C.575474,4.994,4.532,1.132,0.957,1.1,2.057,0.52,0,0,0,1,1
4756_nova,4756,novaehollandiae,-31.31805556,151.8633333,AM C.459669b,all:C.575474,4.994,4.532,1.132,0.957,1.1,2.057,0.52,0,0,0,1,1
4827_nova,4827,novaehollandiae,-32.0618,151.6833,AM C.584421,,4.504,3.504,0.786,1.24,1.587,2.827,0.493,0,1,0,0,1
4828_nova,4828,novaehollandiae,-32.1247,151.4672,AM C.584422,,4.92,3.216,0.808,0.69,1.119,1.809,0.395,0,0,0,1,1
4829_nova,4829,novaehollandiae,-32.1247,151.4672,AM C.584423,,4.048,3.421,0.947,0.539,0.899,1.438,0.388,0,1,0,0,1
4853_sp_MtKap,4853,sp1,-30.29305556,150.1708333,AM C.478667c,,2.249,1.679,0.511,0.386,0.481,0.867,0.357,1,0,0,1,1
4854_sp_MtKap,4854,sp1,-30.29305556,150.1708333,AM C.478667d,,2.249,1.679,0.511,0.386,0.481,0.867,0.357,1,0,0,1,1
4855_nova,4855,novaehollandiae,-30.25,153.116667,QM MO.33097,,4.719,3.421,1.218,1.258,2.107,3.365,0.248,0,0,0,0,1
4856_nova,4856,novaehollandiae,-30.25,153.116667,QM MO.33097,,4.719,3.421,1.218,1.258,2.107,3.365,0.248,0,0,0,0,1
4857_nova,4857,novaehollandiae,-30.25,153.116667,QM MO.33097,,4.719,3.421,1.218,1.258,2.107,3.365,0.248,0,0,0,0,1
4858_nova,4858,novaehollandiae,-30.25,153.116667,QM MO.33097,,4.719,3.421,1.218,1.258,2.107,3.365,0.248,0,0,0,0,1
4859_nova,4859,novaehollandiae,-32.125,151.183333,QM MO.56374,,4.499,3.443,0.651,1.499,1.623,3.122,0.426,0,0,0,1,1
4860_nova,4860,novaehollandiae,-30.7875,152.948611,QM MO.19139,,4.169,4.29,1.98,1.29,1.502,2.792,1.151,0,1,0,1,1
4861_sp_MtBoss,4861,novaehollandiae,-31.209722,152.477778,QM MO.36956,,3.427,2.173,0.864,0.794,0.497,1.291,0.328,0,0,0,1,1
4862_sp_MtBoss,4862,novaehollandiae,-31.209722,152.477778,QM MO.36956,,4.642,3.498,0.888,0.803,0.761,1.564,0.518,0,0,0,1,1
4863_nova,4863,novaehollandiae,-28.233333,152.333333,QM MO.66656,,3.427,2.173,?,?,?,?,?,0,1,0,0,?
4864_nova,4864,novaehollandiae,-30.9075,152.255278,QM MO.36992,,3.465,3.091,0.804,0.913,1.188,2.101,0.494,0,1,0,1,1
