species,number,locality,phallus,epiphallus1,epiphallus2,epiphallus,flagellum,decimalLatitude,decimalLongitude,fl_ep1,fl_ep2,fl_ep,fl_ph,fl_ep+ph,ep1_ep,fl_ph+ep1,shape,retractor,1000pixels=1cm
darlingtoni,C.272201,Kyogle,975,844,1632,2476,1158,-28.389722,153.106667,1.372037915,0.709558824,0.467689822,1.187692308,0.335554912,0.340872375,0.348795181,,,
darlingtoni,QM59910spec1,Broader-Range,1222,1443,1754,3197,1186,-28.383333,153.066667,0.821898822,0.676168757,0.370972787,0.970540098,0.268386513,0.451360651,0.255603448,,,
darlingtoni,QM59910spec2,Broader-Range,889,1276,2135,3411,1122,-28.383333,153.066667,0.879310345,0.525526932,0.328935796,1.262092238,0.260930233,0.374083846,0.239385534,,,
darlingtoni,QM59910spec3,Broader-Range,969,1016,2043,3059,677,-28.383333,153.066667,0.666338583,0.331375428,0.221314155,0.698658411,0.168073486,0.332134685,0.166134969,,,
mitchellae,C.272200,Mulumbimy,1369,1345,2548,3893,1084,-28.573056,153.428056,0.805947955,0.425431711,0.278448497,0.791818846,0.206005321,0.345491909,0.206949217,,,
mitchellae,C.348956,Mulumbimy,1918,1304,2808,4112,1431,-28.573056,153.428056,1.097392638,0.509615385,0.348005837,0.746089677,0.237313433,0.317120623,0.264217134,,,
mitchellae,C.584209,Bilinudgel,687,1165,1506,2671,898,-28.48861111,153.5358333,0.770815451,0.596281541,0.336203669,1.30713246,0.267421084,0.43616623,0.234098019,,,
mitchellae,C.584214,Byron-Bay,1306,1072,2359,3431,1138,-28.66222222,153.6116667,1.061567164,0.4824078,0.331681725,0.87136294,0.240236437,0.312445351,0.252720409,,,
mitchellae,C.584218,Byron-Bay,1009,1041,2451,3492,1186,-28.66222222,153.6116667,1.139289145,0.483884129,0.339633448,1.175421209,0.263497001,0.298109966,0.261636885,,,
mitchellae,C.584219,Byron-Bay,1256,1212,1621,2833,910,-28.66222222,153.6116667,0.750825083,0.561381863,0.321214261,0.724522293,0.2225483,0.427815037,0.224969098,,,
mitchellae,C.584222,Lennox-Head,767,658,1227,1885,803,-28.79083333,153.5858333,1.220364742,0.654441728,0.425994695,1.046936115,0.302790347,0.349071618,0.315768777,,,
mitchellae,C.584239,Byron-Bay,1001,820,1458,2278,739,-28.25944444,153.5713889,0.901219512,0.506858711,0.324407375,0.738261738,0.22537359,0.359964881,0.238540994,,,
novaehollandiae,C.104898,Forster,1110,819,1636,2455,473,-32.32666667,152.45,0.577533578,0.289119804,0.192668024,0.426126126,0.132678822,0.333604888,0.144471594,,,
novaehollandiae,C.105158,Dorrigo,1078,1118,859,1977,484,-30.36666667,152.7666667,0.432915921,0.563445867,0.244815377,0.448979592,0.158428805,0.565503288,0.15638126,,,
novaehollandiae,C.105160,New-England,855,952,707,1659,457,-30.5,152.4,0.480042017,0.646393211,0.275467149,0.534502924,0.181782021,0.573839662,0.175028725,,,
novaehollandiae,C.105162,Dungog,1096,1385,1439,2824,727,-32.03333333,151.4,0.524909747,0.505211953,0.257436261,0.663321168,0.185459184,0.490439093,0.172725113,,,
novaehollandiae,C.105163,Wauchope,1021,671,1120,1791,164,-31.19666667,152.3897222,0.244411326,0.146428571,0.091568956,0.160626836,0.058321479,0.374651033,0.06661251,NA,NA,
novaehollandiae,C.105165,Armidale,612,662,1141,1803,377,-30.73972222,152.0433333,0.569486405,0.330411919,0.209095951,0.616013072,0.15610766,0.367165835,0.152941176,,NA,
novaehollandiae,C.105177,Dorrigo,1717,676,1762,2438,359,-30.376667,152.726667,0.531065089,0.203745743,0.147251846,0.209085614,0.086401925,0.277276456,0.115285806,,,105157!!!
novaehollandiae,C.108564,Morisset,909,1093,1295,2388,404,-33.1,151.4016667,0.369624886,0.311969112,0.169179229,0.444444444,0.122535638,0.457705193,0.116058604,,,
novaehollandiae,C.112182,Gloucester,1212,1721,1281,3002,466,-32.09166667,151.5916667,0.270772807,0.363778298,0.155229847,0.384488449,0.110583768,0.573284477,0.098666102,,,
novaehollandiae,C.112185,Marengo,921,837,1169,2006,381,-30.09305556,152.4266667,0.455197133,0.325919589,0.189930209,0.413680782,0.130167407,0.417248255,0.134013366,,,
novaehollandiae,C.118236,Bulahdelah,1231,773,1710,2483,584,-32.33361111,152.2705556,0.75549806,0.341520468,0.235199356,0.474411048,0.157242865,0.311316955,0.179361179,,,
novaehollandiae,C.121699,Kempsey,1063,784,905,1689,319,-31.01666667,152.3333333,0.406887755,0.352486188,0.188869153,0.300094073,0.115915698,0.464179988,0.128993126,,NA,
novaehollandiae,C.165925,Chinester,973,994,1017,2011,548,-32.11666667,151.4166667,0.551307847,0.538839725,0.272501243,0.563206578,0.183646113,0.494281452,0.182362729,NA,,
novaehollandiae,C.272194,Ngambaa,956,996,1111,2107,672,-30.878889,152.778889,0.674698795,0.604860486,0.318936877,0.70292887,0.219392752,0.472710014,0.216564615,,,
novaehollandiae,C.272195,Yarriabini,1151,967,823,1790,709,-30.786944,152.948056,0.73319545,0.861482382,0.396089385,0.615986099,0.241074464,0.540223464,0.257163584,,,
novaehollandiae,C.272196,New-England,1113,716,1113,1829,258,-30.468611,152.532778,0.360335196,0.23180593,0.141060689,0.23180593,0.087695445,0.391470749,0.101375246,,,
novaehollandiae,C.272197,Tapin-Tops,1809,985,1416,2401,404,-31.666944,152.143056,0.410152284,0.285310734,0.168263224,0.223327805,0.095961995,0.410245731,0.119314826,,,
novaehollandiae,C.272198,Bulahdelah,1201,712,1864,2576,632,-32.333611,152.270556,0.887640449,0.339055794,0.245341615,0.526228143,0.167328568,0.276397516,0.192214112,,,
novaehollandiae,C.272199,Tapin-Tops,612,1196,1091,2287,260,-31.666111,152.141111,0.217391304,0.238313474,0.113686052,0.424836601,0.089686099,0.522955837,0.074648292,,,
